Maths,Science,English,Result
-1.23937466,0.749101495,-0.528514909,1
-1.03607028,0.801436315,-1.283711517,1
-0.615579137,1.579520526,-1.391927056,1
1.335977573,1.348650615,1.433564255,0
0.658925204,1.300018834,0.571602713,0
0.656532232,0.991439643,0.870279795,0
1.453977977,0.583740683,1.277377905,0
1.124756335,1.116123929,1.442579278,0
-1.723840745,-0.17528909,-0.588835203,1
-0.79413813,1.958963129,-0.270497006,1
0.242728637,0.392830989,0.742419535,0
0.695879071,0.044684044,1.410398294,0
-1.39834487,-0.219578437,-1.332539136,1
1.699869439,1.150703109,1.615615653,0
-0.975111211,0.387796089,-1.853478761,1
0.73250359,0.508059069,0.999694835,0
1.436569625,1.143265737,1.556413196,0
-0.691338531,-0.157179968,-0.174195497,0
-1.101759928,0.734979115,-0.974742615,1
1.171287177,1.676785064,1.065020592,0
-0.260585444,-0.554335939,1.303118175,0
0.333435543,1.652449302,-2.442148967,1
0.874872111,0.470826095,1.016198971,0
3.138674622,2.813416426,2.450988859,0
0.896894619,0.979821964,1.162162298,0
1.974404848,3.124937405,1.107507288,0
0.669024967,0.99967232,0.955418166,0
2.875422754,3.270717725,1.497416758,0
0.116951072,-0.423660062,0.711500011,0
-1.098523921,0.449892765,-1.291789666,1
-1.315447021,0.555205782,-1.099971013,1
-1.225130906,1.791151605,-0.037359596,1
3.379874332,3.568386358,2.328914065,0
-0.474542755,1.111415586,-1.739935866,1
-1.365037517,-0.033271897,-1.284700301,1
-1.080457756,1.174176711,-0.442297253,1
-2.088692982,0.853456264,0.689830385,1
-1.278571806,0.400921494,-1.130559361,1
-0.154885755,2.312038018,-1.098892052,1
1.621947876,1.640740137,1.470649579,0
-1.162992621,1.478058369,-0.026453013,1
0.702243163,0.580826492,0.842290902,0
-1.51183385,-0.947524171,-1.806970797,1
1.297576992,0.921315026,1.481941436,0
-1.317726055,0.573604381,-0.639658526,1
-0.454130863,0.460949829,-2.619571102,1
-1.930439464,0.071585531,-0.584447102,1
-1.839290983,-0.140418043,-0.33220939,1
1.150426263,1.337346237,0.989242609,0
3.26186576,3.573627834,1.787723428,0
-0.491874514,2.079178905,-1.430890128,1
